date,trend,ticker
2025-12-07,65,AMD
2025-12-14,62,AMD
2025-12-21,60,AMD
2025-12-28,56,AMD
2026-01-04,59,AMD
2026-01-11,56,AMD
2026-01-18,57,AMD
2026-01-25,60,AMD
2026-02-01,62,AMD
2026-02-08,52,AMD
2026-02-15,54,AMD
2026-02-22,56,AMD
2026-03-01,55,AMD
2026-03-08,54,AMD
2026-03-15,54,AMD
2026-03-22,62,AMD
2026-03-29,68,AMD
2026-04-05,72,AMD
2026-04-12,76,AMD
2026-04-19,75,AMD
2026-04-26,65,AMD
2026-05-03,64,AMD
2026-05-10,60,AMD
2025-05-11,41,LLY
2025-05-18,32,LLY
2025-05-25,28,LLY
2025-06-01,29,LLY
2025-06-08,31,LLY
2025-06-15,27,LLY
2025-06-22,29,LLY
2025-06-29,26,LLY
2025-07-06,28,LLY
2025-07-13,31,LLY
2025-07-20,30,LLY
2025-07-27,39,LLY
2025-08-03,100,LLY
2025-08-10,100,LLY
2025-08-17,65,LLY
2025-08-24,54,LLY
2025-08-31,43,LLY
2025-09-07,41,LLY
2025-09-14,40,LLY
2025-09-21,43,LLY
2025-09-28,53,LLY
2025-10-05,38,LLY
2025-10-12,38,LLY
2025-10-19,34,LLY
2025-10-26,45,LLY
2025-11-02,51,LLY
2025-11-09,52,LLY
2025-11-16,43,LLY
2025-11-23,45,LLY
2025-11-30,41,LLY
2025-12-07,42,LLY
2025-12-14,38,LLY
2025-12-21,34,LLY
2025-12-28,34,LLY
2026-01-04,42,LLY
2026-01-11,44,LLY
2026-01-18,39,LLY
2026-01-25,37,LLY
2026-02-01,49,LLY
2026-02-08,37,LLY
2026-02-15,35,LLY
2026-02-22,39,LLY
2026-03-01,38,LLY
2026-03-08,35,LLY
2026-03-15,42,LLY
2026-03-22,35,LLY
2026-03-29,42,LLY
2026-04-05,37,LLY
2026-04-12,37,LLY
2026-04-19,41,LLY
2026-04-26,49,LLY
2026-05-03,33,LLY
2026-05-10,32,LLY
2025-05-11,53,NVDA
2025-05-18,37,NVDA
2025-05-25,60,NVDA
2025-06-01,38,NVDA
2025-06-08,35,NVDA
2025-06-15,28,NVDA
2025-06-22,40,NVDA
2025-06-29,30,NVDA
2025-07-06,40,NVDA
2025-07-13,48,NVDA
2025-07-20,39,NVDA
2025-07-27,48,NVDA
2025-08-03,55,NVDA
2025-08-10,70,NVDA
2025-08-17,67,NVDA
2025-08-24,100,NVDA
2025-08-31,51,NVDA
2025-09-07,53,NVDA
2025-09-14,54,NVDA
2025-09-21,50,NVDA
2025-09-28,50,NVDA
2025-10-05,48,NVDA
2025-10-12,44,NVDA
2025-10-19,38,NVDA
2025-10-26,60,NVDA
2025-11-02,55,NVDA
2025-11-09,54,NVDA
2025-11-16,98,NVDA
2025-11-23,48,NVDA
2025-11-30,42,NVDA
2025-12-07,41,NVDA
2025-12-14,38,NVDA
2025-12-21,31,NVDA
2025-12-28,28,NVDA
2026-01-04,35,NVDA
2026-01-11,32,NVDA
2026-01-18,30,NVDA
2026-01-25,34,NVDA
2026-02-01,39,NVDA
2026-02-08,35,NVDA
2026-02-15,29,NVDA
2026-02-22,62,NVDA
2026-03-01,41,NVDA
2026-03-08,35,NVDA
2026-03-15,48,NVDA
2026-03-22,35,NVDA
2026-03-29,35,NVDA
2026-04-05,33,NVDA
2026-04-12,40,NVDA
2026-04-19,35,NVDA
2026-04-26,40,NVDA
2026-05-03,32,NVDA
2026-05-10,36,NVDA
