date,trend,ticker
2026-03-29,67,GOOGL
2026-04-05,65,GOOGL
2026-04-12,70,GOOGL
2026-04-19,70,GOOGL
2026-04-26,70,GOOGL
2026-05-03,61,GOOGL
2026-05-10,42,GOOGL
2024-12-29,51,META
2025-01-05,58,META
2025-01-12,58,META
2025-01-19,59,META
2025-01-26,60,META
2025-02-02,52,META
2025-02-09,53,META
2025-02-16,50,META
2025-02-23,51,META
2025-03-02,50,META
2025-03-09,48,META
2025-03-16,50,META
2025-03-23,53,META
2025-03-30,70,META
2025-04-06,60,META
2025-04-13,53,META
2025-04-20,53,META
2025-04-27,57,META
2025-05-04,55,META
2025-05-11,61,META
2025-05-18,56,META
2025-05-25,66,META
2025-06-01,55,META
2025-06-08,57,META
2025-06-15,58,META
2025-06-22,61,META
2025-06-29,59,META
2025-07-06,57,META
2025-07-13,56,META
2025-07-20,62,META
2025-07-27,74,META
2025-08-03,76,META
2025-08-10,85,META
2025-08-17,85,META
2025-08-24,80,META
2025-08-31,75,META
2025-09-07,79,META
2025-09-14,87,META
2025-09-21,88,META
2025-09-28,88,META
2025-10-05,89,META
2025-10-12,79,META
2025-10-19,84,META
2025-10-26,93,META
2025-11-02,85,META
2025-11-09,88,META
2025-11-16,96,META
2025-11-23,100,META
2025-11-30,97,META
2025-12-07,92,META
2025-12-14,90,META
2025-12-21,90,META
2025-12-28,85,META
2026-01-04,83,META
2026-01-11,82,META
2026-01-18,79,META
2026-01-25,86,META
2026-02-01,76,META
2026-02-08,76,META
2026-02-15,80,META
2026-02-22,81,META
2026-03-01,80,META
2026-03-08,83,META
2026-03-15,88,META
2026-03-22,91,META
2026-03-29,95,META
2026-04-05,94,META
2026-04-12,96,META
2026-04-19,91,META
2026-04-26,72,META
2026-05-03,69,META
2026-05-10,58,META
2024-12-29,52,AMD
2025-01-05,58,AMD
2025-01-12,53,AMD
2025-01-19,48,AMD
2025-01-26,53,AMD
2025-02-02,59,AMD
2025-02-09,49,AMD
2025-02-16,50,AMD
2025-02-23,54,AMD
2025-03-02,60,AMD
2025-03-09,50,AMD
2025-03-16,50,AMD
2025-03-23,47,AMD
2025-03-30,48,AMD
2025-04-06,48,AMD
2025-04-13,43,AMD
2025-04-20,46,AMD
2025-04-27,44,AMD
2025-05-04,46,AMD
2025-05-11,47,AMD
2025-05-18,44,AMD
2025-05-25,44,AMD
2025-06-01,46,AMD
2025-06-08,47,AMD
2025-06-15,50,AMD
2025-06-22,48,AMD
2025-06-29,45,AMD
2025-07-06,48,AMD
2025-07-13,52,AMD
2025-07-20,53,AMD
2025-07-27,58,AMD
2025-08-03,76,AMD
2025-08-10,76,AMD
2025-08-17,72,AMD
2025-08-24,67,AMD
2025-08-31,69,AMD
