date,ticker,trend
2025-11-23 00:00:00,AMD,78
2025-11-30 00:00:00,AMD,72
2025-12-07 00:00:00,AMD,65
2025-12-14 00:00:00,AMD,62
2025-12-21 00:00:00,AMD,60
2025-12-28 00:00:00,AMD,56
2026-01-04 00:00:00,AMD,59
2026-01-11 00:00:00,AMD,56
2026-01-18 00:00:00,AMD,57
2026-01-25 00:00:00,AMD,60
2026-02-01 00:00:00,AMD,62
2026-02-08 00:00:00,AMD,52
2026-02-15 00:00:00,AMD,54
2026-02-22 00:00:00,AMD,56
2026-03-01 00:00:00,AMD,55
2026-03-08 00:00:00,AMD,54
2026-03-15 00:00:00,AMD,54
2026-03-22 00:00:00,AMD,62
2026-03-29 00:00:00,AMD,68
2026-04-05 00:00:00,AMD,72
2026-04-12 00:00:00,AMD,76
2026-04-19 00:00:00,AMD,75
2026-04-26 00:00:00,AMD,65
2026-05-03 00:00:00,AMD,64
2026-05-10 00:00:00,AMD,60
2025-05-11 00:00:00,LLY,41
2025-05-18 00:00:00,LLY,32
2025-05-25 00:00:00,LLY,28
2025-06-01 00:00:00,LLY,29
2025-06-08 00:00:00,LLY,31
2025-06-15 00:00:00,LLY,27
2025-06-22 00:00:00,LLY,29
2025-06-29 00:00:00,LLY,26
2025-07-06 00:00:00,LLY,28
2025-07-13 00:00:00,LLY,31
2025-07-20 00:00:00,LLY,30
2025-07-27 00:00:00,LLY,39
2025-08-03 00:00:00,LLY,100
2025-08-10 00:00:00,LLY,100
2025-08-17 00:00:00,LLY,65
2025-08-24 00:00:00,LLY,54
2025-08-31 00:00:00,LLY,43
2025-09-07 00:00:00,LLY,41
2025-09-14 00:00:00,LLY,40
2025-09-21 00:00:00,LLY,43
2025-09-28 00:00:00,LLY,53
2025-10-05 00:00:00,LLY,38
2025-10-12 00:00:00,LLY,38
2025-10-19 00:00:00,LLY,34
2025-10-26 00:00:00,LLY,45
2025-11-02 00:00:00,LLY,51
2025-11-09 00:00:00,LLY,52
2025-11-16 00:00:00,LLY,43
2025-11-23 00:00:00,LLY,45
2025-11-30 00:00:00,LLY,41
2025-12-07 00:00:00,LLY,42
